matrix,threads,schedule,chunk,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_misses,time_ms
Transport,16,guided,1000,17520237960,41014950,78408,24413,
Transport,16,guided,1000,17520237960,41341276,78169,25109,
Transport,16,guided,1000,17520237957,41681041,79586,24908,
Transport,16,guided,10000,17520237968,41061243,77667,24075,
Transport,16,guided,10000,17520237957,41313296,77701,24587,
Transport,16,guided,10000,17520237968,40734303,80328,24148,
Transport,16,guided,10000,17520237969,40767619,79170,23777,
Transport,16,guided,10000,17520237967,40901200,79687,24332,
Transport,32,static,100,17520237639,41146940,80134,24429,
Transport,32,static,100,17520237642,41251872,80436,24200,
Transport,32,static,100,17520237643,42180417,80266,23971,
Transport,32,static,100,17520237642,40486193,77428,24182,
Transport,32,static,100,17520237642,40485161,76852,24130,
Transport,32,static,1000,17520237633,40168761,81553,23948,
Transport,32,static,1000,17520237637,42421489,75951,24576,
Transport,32,static,1000,17520237635,41849203,80445,25194,
Transport,32,static,1000,17520237636,40535919,78342,24783,
Transport,32,static,1000,17520237634,41560543,79177,24985,
Transport,32,static,10000,17520237643,40486836,79688,23717,
Transport,32,static,10000,17520237642,41216526,77329,23907,
Transport,32,static,10000,17520237644,40645305,79269,23527,
Transport,32,static,10000,17520237641,41088857,78056,24144,
Transport,32,static,10000,17520237640,40468248,79033,23657,
Transport,32,dynamic,100,17520237965,40261619,79057,24218,
Transport,32,dynamic,100,17520237960,40825409,77502,24031,
Transport,32,dynamic,100,17520237962,42551912,79246,24214,
Transport,32,dynamic,100,17520237961,41581588,76924,24368,
Transport,32,dynamic,100,17520237964,40985158,76414,23641,
Transport,32,dynamic,1000,17520237954,40152303,78312,24265,
Transport,32,dynamic,1000,17520237956,39938771,79547,24617,
Transport,32,dynamic,1000,17520237955,39972346,80911,24672,
Transport,32,dynamic,1000,17520237956,40062165,80761,24423,
Transport,32,dynamic,1000,17520237953,40470936,80370,24817,
Transport,32,dynamic,10000,17520237963,40524417,75700,23918,
Transport,32,dynamic,10000,17520237966,40109753,80424,24100,
Transport,32,dynamic,10000,17520237966,40313499,75144,23894,
Transport,32,dynamic,10000,17520237963,40840197,79702,23844,
Transport,32,dynamic,10000,17520237963,40898993,78132,23736,
Transport,32,guided,100,17520237962,40588754,79827,24507,
Transport,32,guided,100,17520237967,41283449,78239,24063,
Transport,32,guided,100,17520237961,40340871,79079,24190,
Transport,32,guided,100,17520237965,40571220,76089,24559,
Transport,32,guided,100,17520237966,40304206,80542,24298,
Transport,32,guided,1000,17520237960,41908707,77987,24073,
Transport,32,guided,1000,17520237959,41379430,79181,25144,
Transport,32,guided,1000,17520237958,40571521,80455,24463,
Transport,32,guided,1000,17520237959,40544841,79042,24447,
Transport,32,guided,1000,17520237960,41227581,78917,24588,
Transport,32,guided,10000,17520237961,40795619,78593,24668,
Transport,32,guided,10000,17520237960,40920929,79039,24826,
